No1_D[m]	No2_L/D	No3_alpha	No4_rhoL	No5_rhot	No6_dL[mm]	No7_fy[MPa]	No8_fc[MPa]	No9_epsilonC	No10_XL	No11_Xt
1.0953647	2.0352181	0.1306586	0.0189629	0.0027144	38.8226902	543.2581203	47.1891604	0.0023663	0.2678191	0.7289537
1.3531159	1.7604784	0.1844306	0.0198890	0.0014733	36.8997569	452.9072165	42.8210643	0.0013827	0.0043648	0.0067852
1.0813159	1.6120731	0.1540644	0.0185249	0.0059916	34.7304664	537.5708133	49.6691759	0.0025124	0.2077296	0.4433206
1.4997352	1.3244256	0.2270274	0.0295830	0.0058363	30.2365613	406.4044755	34.5724768	0.0021878	0.2169780	0.5082237
0.8276836	2.4224862	0.1473642	0.0270945	0.0010408	35.7045691	436.1510754	38.4841056	0.0026657	0.2803034	0.3985229
1.7481012	4.2353256	0.0957323	0.0259468	0.0014739	32.8925900	426.9957569	30.5562020	0.0019879	0.2601472	0.6149479
0.8932888	2.4458277	0.1003274	0.0216163	0.0032824	34.7782674	548.4032127	32.6645430	0.0028683	0.1596612	0.4317637
0.9545177	1.3302606	0.2199402	0.0244931	0.0031402	41.8255212	422.5991238	35.6381994	0.0024347	0.1656533	0.3384447
1.0144566	2.0064175	0.1012755	0.0182571	0.0013775	32.2802412	485.1980724	43.2837221	0.0021686	0.1771662	0.3842254
1.1631801	1.2433379	0.1708581	0.0296535	0.0082246	34.7915037	504.5279757	41.3650698	0.0029920	0.0145934	0.0157103
1.7773437	1.5976968	0.2305047	0.0278531	0.0032085	33.7816061	444.1348092	36.9380739	0.0012802	0.0763308	0.1781746
1.3819943	1.0364573	0.0797044	0.0298062	0.0013908	35.7074069	441.9431790	38.3317654	0.0013934	0.2717773	0.5200819
1.3750459	1.3692357	0.2179436	0.0201745	0.0041417	42.2309100	534.8425221	42.4808922	0.0024384	0.2000252	0.5242341
0.8148315	1.3039386	0.2091562	0.0240918	0.0025931	30.7988855	480.4812942	37.0510252	0.0022343	0.1997371	0.5608802
1.5568526	6.2401076	0.0732013	0.0257693	0.0011083	32.6814698	546.9751448	46.9234863	0.0020748	0.2488870	0.7423454
1.2977341	2.7397319	0.1690204	0.0192912	0.0019019	41.6125446	541.6168975	37.7179709	0.0021144	0.0894654	0.1836221
1.0267400	1.5537825	0.0792816	0.0275332	0.0042206	29.1638591	548.2782055	48.1633827	0.0011639	0.1220258	0.2313591
1.7261782	2.2164696	0.0767782	0.0218021	0.0023762	41.4454899	421.4514947	32.5452813	0.0016234	0.2685749	0.7981127
1.2759033	3.2797562	0.1280568	0.0259285	0.0020004	41.9183289	539.6799078	35.7312375	0.0019740	0.2354771	0.5199079
1.6655591	1.5707126	0.2230406	0.0273918	0.0029626	38.3753534	441.1649957	40.0670798	0.0024094	0.0883751	0.2248030
0.8097168	1.0750408	0.2011638	0.0168512	0.0019115	36.7726648	543.0251804	48.1631117	0.0022207	0.2197104	0.5413145
1.3311865	2.9761121	0.2193743	0.0280009	0.0041791	38.8569425	477.8317046	30.8906349	0.0023091	0.2556689	0.7659008
1.7257913	3.2498823	0.1205261	0.0233160	0.0012035	33.1903321	402.4525213	42.3109085	0.0027613	0.2140923	0.5314726
1.2303476	2.0764082	0.1010512	0.0298996	0.0032889	28.0276348	476.8806979	47.8468286	0.0026635	0.0174773	0.0402346
1.3291848	1.4326418	0.1823035	0.0267848	0.0035276	30.6491531	459.7599702	47.3178725	0.0029799	0.0795068	0.1666487
1.6076184	1.1323833	0.1252176	0.0295605	0.0026279	42.8786561	431.2019518	38.3857872	0.0025357	0.0178702	0.0334144
1.6511649	2.6786748	0.1367457	0.0282345	0.0011028	35.3923632	496.8542079	47.3155132	0.0029777	0.0107260	0.0139179
0.8624418	1.0354740	0.1789877	0.0287649	0.0064144	38.0238683	410.7622512	49.1735592	0.0019353	0.1794061	0.3699288
1.1876641	3.2484650	0.0882183	0.0272321	0.0030940	28.1947821	506.7485691	32.4058213	0.0020905	0.1135384	0.2615878
1.7689946	2.3798253	0.0838530	0.0243337	0.0028536	36.1497791	478.7572382	34.0826224	0.0011619	0.2765988	0.7262605
1.2872145	1.3438413	0.0730616	0.0272611	0.0087781	28.5764237	541.9162019	37.9149167	0.0012231	0.0254619	0.0429438
0.8789328	1.5553851	0.1614952	0.0246849	0.0010112	35.1395139	509.3985989	39.7528817	0.0020057	0.1496565	0.3352105
1.6686303	6.8351672	0.0564870	0.0282708	0.0022084	29.6072788	533.4059896	38.7402093	0.0024895	0.1830091	0.4499290
1.7158922	2.1590043	0.1433074	0.0260559	0.0022341	31.0452252	425.7889893	38.4001522	0.0025006	0.1135181	0.3331791
1.2254047	2.1166706	0.0738660	0.0173886	0.0011483	37.6235716	432.7515041	39.1430966	0.0026572	0.1062299	0.2284003
1.2729751	1.6575862	0.1989088	0.0279868	0.0043915	33.9549093	456.4214021	47.0198063	0.0020777	0.1215082	0.1238729
1.5417681	1.2737264	0.2205409	0.0209024	0.0061607	31.7434530	437.9008970	44.1869850	0.0027735	0.2552446	0.7626785
1.7309522	2.5366864	0.2171609	0.0262909	0.0023789	32.1670838	506.0275909	31.7610112	0.0016685	0.0467825	0.0956800
1.0560074	4.3906899	0.1183778	0.0248976	0.0011248	40.4462831	528.2196879	46.7229879	0.0022448	0.0524048	0.0802055
1.2956734	4.0363990	0.1808435	0.0215968	0.0011768	38.8894064	549.4592511	41.4999933	0.0022886	0.1456572	0.4291960
1.2034066	1.6627241	0.1743485	0.0197794	0.0033448	38.0848044	423.1597315	43.6273990	0.0012521	0.2121070	0.6068024
1.1166192	3.4267320	0.1654424	0.0274440	0.0011333	39.0860641	530.5342102	40.2734183	0.0013347	0.2658179	0.6728709
1.4720292	4.5751014	0.0616395	0.0279488	0.0010289	39.5181032	466.2603397	33.6801407	0.0013807	0.0781180	0.2238825
1.5167419	1.4553759	0.1798198	0.0216270	0.0033286	34.4957732	429.9445843	49.8455557	0.0026474	0.1348719	0.3809765
1.1004876	1.8676913	0.0986407	0.0157604	0.0013801	32.6529468	523.8468782	34.0476754	0.0012245	0.0127190	0.0272586
1.5382825	2.1517229	0.0908007	0.0246885	0.0039562	31.8517371	437.1200716	35.3088323	0.0015817	0.2055018	0.4308713
1.5728383	1.3407732	0.1937525	0.0240768	0.0051021	37.1609174	473.2797748	31.9449581	0.0028754	0.1720587	0.4507392
1.0733478	3.6078921	0.2189798	0.0287942	0.0039948	35.7333452	542.7613747	32.5216024	0.0013777	0.2094867	0.6199604
1.5262736	1.2692186	0.1653286	0.0228921	0.0112993	34.5222171	517.7515519	49.1740326	0.0018042	0.2881221	0.7280407
1.0797912	2.5700154	0.1926834	0.0286557	0.0026635	38.0626210	547.9370643	36.3789756	0.0022445	0.1338116	0.2247355
1.4413379	1.9947592	0.0700404	0.0281925	0.0086280	32.3416793	423.4366351	41.6944196	0.0011184	0.2791466	0.7823165
1.7472388	1.1125315	0.1557962	0.0274958	0.0051501	30.8042472	483.3081415	35.0347998	0.0013690	0.0702076	0.1875619
1.3563216	1.0422795	0.1740572	0.0285188	0.0106800	36.5422262	487.2963375	35.1050434	0.0013598	0.1398581	0.3617742
0.9326585	2.5978875	0.0541370	0.0248641	0.0051506	34.1451949	512.3944893	47.3498510	0.0028617	0.2348677	0.6908394
1.1001248	1.6010710	0.1696589	0.0226187	0.0029966	31.7586997	547.7862160	45.0212727	0.0013889	0.2004477	0.5441401
1.5381351	3.9574270	0.2332150	0.0219908	0.0013556	29.4846069	487.2067950	33.5281036	0.0027677	0.1945192	0.5121947
0.8945910	1.5662437	0.2098080	0.0155663	0.0024241	31.5613630	438.0476046	41.9861529	0.0026096	0.1767008	0.2682635
1.0359223	1.2103140	0.1772346	0.0210548	0.0015591	40.6595701	524.7034602	41.3009922	0.0023741	0.1060174	0.3079723
1.5119094	1.7663266	0.1952568	0.0248767	0.0043392	39.6649903	444.6289301	31.1722255	0.0012705	0.2174544	0.4695407
1.3216614	3.4004450	0.1455008	0.0274472	0.0010287	40.8361581	449.5128084	46.4543347	0.0013716	0.0803425	0.1916135
1.6442285	4.3132209	0.0835658	0.0270509	0.0028184	34.1523597	549.1870911	36.5169370	0.0013889	0.2359960	0.6442367
1.2073941	1.0564270	0.1589574	0.0250971	0.0048791	41.0292099	469.6939097	42.9826640	0.0029923	0.2373913	0.3936126
1.0314531	2.3757167	0.1903741	0.0281760	0.0011471	37.1958645	507.8150682	42.9250690	0.0019070	0.1252494	0.1904675
1.2088578	1.1666105	0.0852980	0.0205420	0.0021022	38.7399696	447.9922377	41.2318753	0.0010180	0.0624002	0.1632885
1.6349737	1.7952147	0.1467351	0.0277793	0.0056154	30.6405286	513.2379159	32.9396715	0.0017772	0.1391164	0.4099634
1.0985012	1.0854023	0.0949634	0.0208975	0.0023831	37.8511617	474.9902417	30.6474691	0.0022996	0.0914394	0.1962994
1.6104178	1.4135554	0.2187693	0.0299945	0.0045041	42.5327623	482.6530866	42.1186621	0.0027176	0.0302361	0.0545007
1.4667228	1.9347073	0.1242772	0.0267854	0.0015483	34.6095443	426.8652188	49.3131557	0.0028354	0.0595834	0.0605653
1.7237207	4.2038341	0.0726275	0.0270360	0.0020893	42.7957235	536.6165595	35.4496353	0.0019638	0.2225000	0.2526661
0.8580423	1.0276646	0.1042130	0.0245649	0.0107745	34.1845112	467.9954743	36.4795501	0.0013065	0.2525277	0.7181358
1.7424884	1.1352690	0.1833147	0.0228006	0.0020695	41.9267018	505.7835496	44.9853883	0.0024413	0.1298039	0.3140540
1.5080089	1.6269820	0.1940028	0.0296272	0.0062485	41.6119956	454.8858775	45.0322460	0.0028681	0.1774292	0.2862444
1.2224584	1.9377777	0.1872115	0.0224715	0.0020951	40.5246316	424.5218697	45.6335362	0.0019431	0.1551926	0.3441025
1.2643269	1.5482186	0.1391112	0.0293939	0.0010561	34.8562294	534.3681703	31.2829015	0.0017771	0.0313032	0.0411881
1.4129642	3.7393399	0.2470285	0.0280665	0.0012244	42.3533392	411.8054183	32.4483542	0.0017361	0.1115823	0.2465188
1.7136931	1.8042706	0.2259351	0.0272304	0.0028298	32.7437587	450.4971196	47.6670942	0.0016971	0.1913427	0.3501152
1.2052837	1.2506156	0.0912897	0.0245979	0.0084996	34.1038842	527.1065834	37.1784650	0.0027449	0.2164830	0.5971001
1.7922332	1.4851588	0.0777580	0.0254480	0.0084134	32.1608411	465.7307121	34.9342207	0.0020783	0.2418090	0.6197387
1.0335370	1.3747165	0.1543626	0.0159842	0.0025738	41.8007841	471.6966897	42.7278516	0.0023847	0.1314366	0.2260161
1.6474401	1.3088861	0.1030897	0.0188586	0.0060340	32.1569531	523.9694141	33.5707322	0.0029142	0.2511863	0.5746924
1.7525509	2.1148526	0.1469428	0.0248834	0.0015397	41.5165900	512.7468081	42.0152229	0.0020251	0.1543741	0.4220781
1.4746909	2.9136134	0.0767249	0.0272602	0.0042117	40.6543607	421.4143695	32.6742902	0.0014800	0.2325213	0.6374420
0.9415859	4.2846551	0.1764601	0.0219886	0.0011007	30.1147015	547.1870588	33.6157119	0.0018137	0.0672580	0.0832855
1.5522481	3.0408629	0.0614953	0.0299853	0.0030704	38.5458945	457.3640878	48.1427731	0.0022783	0.2347654	0.5132683
1.7136557	1.1694597	0.2274058	0.0207932	0.0094152	31.7462339	546.9029437	49.5958498	0.0027393	0.1291057	0.3133501
1.3751750	4.2930139	0.0941162	0.0297173	0.0022672	37.9578622	513.6234986	31.4458069	0.0023216	0.1724327	0.4943594
0.8943072	1.6660917	0.1481097	0.0238485	0.0019648	37.4702168	538.5490627	38.0423599	0.0023251	0.1306038	0.1790204
0.9814874	2.4593979	0.1444880	0.0299668	0.0045422	36.7387236	475.2604844	30.3652358	0.0026511	0.2547094	0.7046246
1.6305026	1.6267983	0.2469785	0.0192145	0.0024824	41.2431478	522.1004968	48.3210622	0.0019827	0.1636008	0.4716263
1.6989725	1.6259819	0.2257247	0.0285479	0.0054994	30.1850998	452.9738002	32.3915827	0.0013983	0.0052685	0.0110845
1.3401335	1.7938416	0.1255904	0.0263137	0.0021618	37.9058033	411.6706468	33.6849523	0.0013208	0.1598926	0.4144280
1.2543641	2.5227572	0.1785736	0.0244429	0.0013300	29.7014352	527.3598930	30.8164784	0.0015300	0.1434541	0.1758929
1.0450815	1.6752410	0.1664481	0.0265859	0.0031860	31.4930105	423.2165936	32.4994294	0.0015346	0.1232076	0.3201333
1.6408700	1.1933682	0.0701519	0.0148091	0.0030357	35.0309302	523.4525200	47.7316768	0.0012496	0.2422572	0.2804114
1.3612400	3.4762179	0.1238365	0.0265189	0.0070168	40.5097224	541.1511675	35.1976629	0.0023923	0.2450394	0.7178373
1.7709819	1.5279961	0.0808807	0.0285227	0.0078763	31.0609394	506.2112794	34.5303021	0.0026792	0.1374713	0.1661337
1.2461272	3.7755862	0.1608783	0.0194476	0.0020344	29.4850341	496.8642951	33.3654907	0.0020188	0.2773175	0.7889610
1.0046840	2.4191071	0.1047843	0.0206215	0.0011459	40.0639743	490.7359827	46.7679481	0.0014403	0.1499884	0.2404568
1.6880367	1.3644478	0.1005996	0.0184817	0.0032771	40.8253175	440.2750772	36.2365959	0.0020019	0.1211386	0.2543714
1.3079198	2.0272578	0.1365406	0.0246436	0.0050443	40.1382739	527.6971040	44.7926234	0.0023850	0.1913632	0.5614303
0.8601646	1.2225055	0.1824519	0.0269358	0.0051094	28.8291390	499.9424543	44.1181723	0.0016607	0.1465903	0.3249068
1.7584496	1.4040379	0.2251624	0.0180705	0.0023512	32.1064166	425.2245413	41.4232151	0.0028376	0.2770325	0.4156433
0.8401194	2.2566857	0.1492514	0.0269264	0.0036173	30.6572550	441.7603725	38.4730700	0.0028607	0.2541295	0.7136672
1.5837152	1.4739067	0.0814538	0.0282370	0.0036115	32.8088072	523.8535419	38.6436396	0.0015582	0.0640023	0.0812702
1.2257750	1.3102219	0.1611138	0.0236767	0.0047219	39.2552523	535.6713626	43.1012318	0.0021266	0.2566453	0.6399393
1.4727712	1.5675208	0.1969773	0.0275578	0.0019548	34.8431845	495.0701868	37.5565440	0.0014296	0.1525939	0.4183268
1.4697149	1.1199996	0.2293141	0.0171585	0.0018647	32.8214473	476.3441551	43.2890830	0.0017266	0.1720119	0.2030519
1.4606836	3.3328067	0.1390264	0.0251741	0.0021512	28.3626648	485.8290876	39.6461737	0.0023099	0.0252202	0.0398560
1.6798523	2.4461011	0.2173460	0.0209191	0.0015329	33.2961080	425.3492734	40.3251158	0.0019539	0.2248174	0.5150730
